id,sepostulo
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,1
626,1
627,0
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,1
699,0
700,1
701,1
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,1
809,0
810,0
811,0
